id,title,revenue,budget,year_movie,profit
19995,Avatar,"2,787,965,087","237,000,000",2009,"2,550,965,087"
140607,Star Wars: The Force Awakens,"2,068,223,624","245,000,000",2015,"1,823,223,624"
597,Titanic,"1,845,034,188","200,000,000",1997,"1,645,034,188"
24428,The Avengers,"1,519,557,910","220,000,000",2012,"1,299,557,910"
135397,Jurassic World,"1,513,528,810","150,000,000",2015,"1,363,528,810"
168259,Furious 7,"1,506,249,360","190,000,000",2015,"1,316,249,360"
99861,Avengers: Age of Ultron,"1,405,403,694","280,000,000",2015,"1,125,403,694"
12445,Harry Potter and the Deathly Hallows: Part 2,"1,342,000,000","125,000,000",2011,"1,217,000,000"
109445,Frozen,"1,274,219,009","150,000,000",2013,"1,124,219,009"
321612,Beauty and the Beast,"1,262,886,337","160,000,000",2017,"1,102,886,337"
337339,The Fate of the Furious,"1,238,764,765","250,000,000",2017,"988,764,765"
68721,Iron Man 3,"1,215,439,994","200,000,000",2013,"1,015,439,994"
211672,Minions,"1,156,730,962","74,000,000",2015,"1,082,730,962"
271110,Captain America: Civil War,"1,153,304,495","250,000,000",2016,"903,304,495"
38356,Transformers: Dark of the Moon,"1,123,746,996","195,000,000",2011,"928,746,996"
122,The Lord of the Rings: The Return of the King,"1,118,888,979","94,000,000",2003,"1,024,888,979"
37724,Skyfall,"1,108,561,013","200,000,000",2012,"908,561,013"
91314,Transformers: Age of Extinction,"1,091,405,097","210,000,000",2014,"881,405,097"
49026,The Dark Knight Rises,"1,084,939,099","250,000,000",2012,"834,939,099"
10193,Toy Story 3,"1,066,969,703","200,000,000",2010,"866,969,703"
58,Pirates of the Caribbean: Dead Man's Chest,"1,065,659,812","200,000,000",2006,"865,659,812"
330459,Rogue One: A Star Wars Story,"1,056,057,273","200,000,000",2016,"856,057,273"
1865,Pirates of the Caribbean: On Stranger Tides,"1,045,713,802","380,000,000",2011,"665,713,802"
127380,Finding Dory,"1,028,570,889","200,000,000",2016,"828,570,889"
12155,Alice in Wonderland,"1,025,491,110","200,000,000",2010,"825,491,110"
269149,Zootopia,"1,023,784,195","150,000,000",2016,"873,784,195"
49051,The Hobbit: An Unexpected Journey,"1,021,103,568","250,000,000",2012,"771,103,568"
324852,Despicable Me 3,"1,020,063,384","80,000,000",2017,"940,063,384"
155,The Dark Knight,"1,004,558,444","185,000,000",2008,"819,558,444"
671,Harry Potter and the Philosopher's Stone,"976,475,550","125,000,000",2001,"851,475,550"
93456,Despicable Me 2,"970,761,885","76,000,000",2013,"894,761,885"
278927,The Jungle Book,"966,550,600","175,000,000",2016,"791,550,600"
285,Pirates of the Caribbean: At World's End,"961,000,000","300,000,000",2007,"661,000,000"
57158,The Hobbit: The Desolation of Smaug,"958,400,000","250,000,000",2013,"708,400,000"
122917,The Hobbit: The Battle of the Five Armies,"956,019,788","250,000,000",2014,"706,019,788"
12444,Harry Potter and the Deathly Hallows: Part 1,"954,305,868","250,000,000",2010,"704,305,868"
12,Finding Nemo,"940,335,536","94,000,000",2003,"846,335,536"
675,Harry Potter and the Order of the Phoenix,"938,212,738","150,000,000",2007,"788,212,738"
767,Harry Potter and the Half-Blood Prince,"933,959,197","250,000,000",2009,"683,959,197"
121,The Lord of the Rings: The Two Towers,"926,287,400","79,000,000",2002,"847,287,400"
1893,Star Wars: Episode I - The Phantom Menace,"924,317,558","115,000,000",1999,"809,317,558"
329,Jurassic Park,"920,100,000","63,000,000",1993,"857,100,000"
809,Shrek 2,"919,838,758","150,000,000",2004,"769,838,758"
674,Harry Potter and the Goblet of Fire,"895,921,036","150,000,000",2005,"745,921,036"
559,Spider-Man 3,"890,871,626","258,000,000",2007,"632,871,626"
8355,Ice Age: Dawn of the Dinosaurs,"886,686,817","90,000,000",2009,"796,686,817"
